"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,     -0.6247459294,      -14.07082739,               -32,               -32,     -0.1227961305,       3.676448389
          0,           0,           1,     -0.7379215719,       1.489482893,      0.2552089325,       0.263509307,     -0.4244788186,        4.68890986
          0,           0,           2,     -0.9359967003,       1.293716751,      0.2028650071,      0.2788335735,     -0.7595147729,       4.601807141
          0,           0,           3,      -1.089942521,       1.107108131,       0.159505919,      0.1634406853,     -0.8455030085,       4.557106103
          0,           0,           4,      -1.158053541,      0.8932345867,     0.03013022146,   -0.006030016451,     -0.7694876992,       4.501578326
          0,           0,           5,      -1.289162476,      0.7396885312,    -0.07329273999,    -0.03890818712,     -0.5071090193,       4.432033176
          0,           0,           6,      -1.464351879,      0.6111772713,     -0.1544545632,     -0.1188800604,     -0.3273804158,       4.316599299
          0,           0,           7,       -1.59086137,      0.3862275793,     -0.2259650981,     -0.1631721521,    -0.07057294715,         4.1832679
          0,           0,           8,      -1.655212833,     0.09902685371,     -0.3210620524,     -0.1600982761,    -0.05888026143,       4.049731614
          0,           0,           9,        -1.7516481,     -0.2104454302,     -0.4030718288,     -0.3337154031,      -0.166290941,       3.931774129
          0,           0,          10,      -1.852365867,     -0.2069051655,     -0.5388761077,      -0.455742405,     -0.4919304813,       3.855400109
          0,           0,          11,      -1.967556953,     -0.1477310863,     -0.6948788088,     -0.5500636621,     -0.3284738768,       3.789453672
          0,           0,          12,       -2.16322988,     -0.2802272155,     -0.8052412128,     -0.6323406863,     -0.4423359067,       3.681127131
          0,           0,          13,      -2.324668784,      -0.485009868,      -1.046973588,       -0.89789946,     -0.6443246436,       3.490990259
          0,           0,          14,      -2.502532319,     -0.8462637648,      -1.173788357,      -1.046602624,     -0.9343098412,       3.352992169
          0,           0,          15,      -2.730150781,      -1.183466545,      -1.356323551,      -1.321762278,      -1.156689396,       3.255050015
          0,           0,          16,       -2.87319304,      -1.294750804,        -1.4830582,      -1.523813235,      -1.273906819,       3.331447675
          0,           0,          17,       -3.08037337,      -1.446748791,      -1.638054462,      -1.664363077,      -1.126119987,       3.312314366
          0,           0,          18,      -3.156577284,       -1.60116902,      -1.724711191,      -1.678279911,     -0.9883880557,       3.167381603
          0,           0,          19,      -3.205243261,      -1.757414626,      -1.747982428,      -1.754946175,        -1.1675054,       3.195517022
          0,           0,          20,      -3.289351475,      -1.867674714,      -1.820830474,      -1.860932653,      -1.366567972,       3.302229977
          0,           0,          21,      -3.326512158,      -1.819750742,      -1.860533316,      -1.723005261,      -1.450044045,        3.35393455
          0,           0,          22,      -3.439905937,      -2.024370625,      -1.963964949,      -1.972123582,      -1.415445789,       3.431693779
          0,           0,          23,      -3.548723935,      -2.068289034,      -2.168643912,      -1.989061244,      -1.401231338,       3.525137869
          0,           0,          24,      -3.651897807,      -2.220930123,      -2.309967823,      -2.104681561,       -1.28637186,       3.609392164
          0,           0,          25,      -3.769180726,       -2.36689742,      -2.294081697,      -2.217934569,      -1.316560269,       3.705133954
          0,           0,          26,      -3.755560446,      -2.370900336,      -2.316744345,      -2.372208447,      -1.225136875,       3.760514528
          0,           0,          27,      -3.774280788,      -2.418956359,       -2.37614251,      -2.350110589,      -1.186768313,       3.835039502
          0,           0,          28,      -3.818772688,      -2.420635254,      -2.436946547,      -2.322056701,      -1.135968074,       3.891999495
          0,           0,          29,      -3.833036615,      -2.435956296,       -2.25789768,      -2.291999708,      -1.042439344,       3.905361176
          0,           0,          30,      -3.731361847,      -2.285464385,      -2.272428954,      -2.261555496,      -1.002832448,       3.995728128
          0,           0,          31,      -3.687491447,      -2.208608736,      -2.177974175,      -2.156850528,     -0.9065430103,       3.968198525
          0,           0,          32,      -3.664959448,      -2.113023874,       -2.12125314,      -2.136902994,      -0.871496191,       4.039519361
          0,           0,          33,      -3.674606197,      -2.077696138,      -1.981655441,      -2.121986385,     -0.8954205618,       4.023976868
