"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          55,        -3.9393875,      -3.254578582,      -3.323736331,      -3.346623035,      -2.960079465,       3.258237904
          0,           0,          56,      -3.916248396,      -3.255504347,      -3.288348946,      -3.227908203,      -3.033646412,       3.405764835
          0,           0,          57,      -3.922260117,      -3.246921104,      -3.298848209,      -3.239907117,      -2.928357137,       3.312167133
          0,           0,          58,      -3.915278999,      -3.247092583,       -3.29608342,      -3.332207926,      -3.047062813,       3.384900972
          0,           0,          59,      -3.919281201,      -3.254812879,       -3.33702126,      -3.346735271,      -2.938916641,       3.255200766
          0,           0,          60,      -3.941521137,      -3.272624256,      -3.283645119,      -3.348406629,      -2.945120009,       3.390284334
          0,           0,          61,      -3.935581645,      -3.264560786,      -3.278364925,      -3.344204413,      -2.949634081,       3.313422476
          0,           0,          62,      -3.890353419,      -3.211047571,      -3.241692999,      -3.248191769,      -3.021139546,       3.368710827
          0,           0,          63,      -3.907324827,      -3.226704943,      -3.256191853,      -3.274247771,      -2.997769505,       3.261074511
          0,           0,          64,      -3.946747905,      -3.305541104,      -3.263351519,      -3.372953022,      -3.124238803,       3.396219142
          0,           0,          65,      -3.949125315,       -3.28604904,      -3.302590192,      -3.368978154,      -3.270112533,       3.317664945
          0,           0,          66,      -3.899252544,      -3.229097257,      -3.251119913,       -3.28453101,      -3.352845481,        3.38822313
          0,           0,          67,      -3.910068464,      -3.251293075,      -3.273919939,      -3.306345099,      -3.319561561,       3.266810593
          0,           0,          68,        -3.9373198,       -3.32801224,      -3.268852519,      -3.402018108,      -3.458213255,       3.415714363
          0,           0,          69,      -3.936298051,      -3.303685885,      -3.311342379,      -3.386905577,      -3.497707376,       3.314731455
          0,           0,          70,      -3.892436048,      -3.254897308,      -3.241851436,      -3.345310406,      -3.570079084,       3.397516895
          0,           0,          71,      -3.905275742,      -3.265854861,        -3.2765873,      -3.353946495,      -3.495550793,       3.271267521
          0,           0,          72,      -3.931774075,       -3.32951498,      -3.286688593,       -3.39501826,      -3.309593574,       3.439086828
          0,           0,          73,      -3.938967731,      -3.311959357,      -3.329496732,      -3.389439231,      -3.026513248,       3.317372117
          0,           0,          74,      -3.927894626,      -3.290243714,      -3.295085392,      -3.398208027,      -2.901636062,       3.417431019
          0,           0,          75,      -3.944156175,      -3.298597462,      -3.323577663,      -3.410864942,      -2.920383397,       3.272628704
          0,           0,          76,      -3.920109037,      -3.319205447,      -3.288189884,      -3.373775495,      -2.941602654,       3.472554784
          0,           0,          77,      -3.907514877,      -3.291978595,      -3.307108103,      -3.351131314,      -2.933545299,       3.314921195
          0,           0,          78,      -3.895293455,      -3.282556971,       -3.27633874,      -3.380120124,      -2.912259226,       3.411268483
          0,           0,          79,      -3.903643174,      -3.293416981,      -3.318760634,      -3.398927143,      -2.860875172,       3.277455378
          0,           0,          80,         -3.946785,      -3.333412496,      -3.305048921,      -3.427291998,      -2.797501738,       3.431862508
          0,           0,          81,      -3.942723931,      -3.303451485,      -3.323006737,      -3.413473652,      -2.762893024,       3.313877905
          0,           0,          82,      -3.916962096,       -3.25170105,      -3.276495806,      -3.373722562,      -2.733384037,        3.40868886
          0,           0,          83,      -3.919277163,      -3.263556654,      -3.295375672,      -3.382674516,      -2.449693316,       3.270666734
          0,           0,          84,      -3.933428489,      -3.312676786,      -3.287511412,      -3.400251405,      -1.934701159,       3.458604776
          0,           0,          85,      -3.935140859,      -3.296247219,      -3.308027392,      -3.387633764,      -1.552771516,       3.327038981
          0,           0,          86,      -3.911798515,       -3.27066179,      -3.291628025,      -3.386827841,       -1.32562299,       3.431413857
          0,           0,          87,      -3.926546218,      -3.276710842,      -3.313944958,      -3.389927171,      -1.073890231,       3.259561495
          0,           0,          88,      -3.933617947,      -3.327892478,      -3.291041387,      -3.426753804,      -1.076721669,       3.455486567
          0,           0,          89,         -3.939975,       -3.30253579,        -3.3069424,      -3.416179249,      -1.049413388,       3.334405256
          0,           0,          90,      -3.915918223,      -3.258170545,      -3.303049731,      -3.389624195,      -1.240304904,       3.437012871
          0,           0,          91,      -3.931514928,      -3.277245488,      -3.326441044,      -3.393513953,        -1.4436142,       3.256633763
          0,           0,          92,      -3.940107519,      -3.340705302,      -3.298223785,      -3.425938027,      -1.461031513,       3.410975937
          0,           0,          93,      -3.953739185,      -3.304873788,      -3.312622212,      -3.428892619,      -1.487849858,       3.347716544
          0,           0,          94,      -3.931631751,      -3.245204128,      -3.307172805,      -3.403979938,      -1.411794277,        3.44564831
          0,           0,          95,       -3.94693991,        -3.2638165,      -3.334116771,      -3.410218087,      -1.375139558,        3.25183302
          0,           0,          96,      -3.985446568,      -3.335162563,      -3.294786402,      -3.467800127,      -1.291293831,       3.469957644
          0,           0,          97,      -3.983481319,      -3.296225722,      -3.315680581,      -3.441986744,      -1.354659528,       3.392339468
          0,           0,          98,      -3.947020366,      -3.204876473,       -3.28275113,      -3.359081036,      -1.378716708,       3.460421507
          0,           0,          99,      -3.954724937,      -3.235098319,      -3.300912742,      -3.381406165,      -1.501973916,       3.278899082
          0,           0,         100,      -4.001367932,        -3.3239484,       -3.27556567,      -3.447281198,      -1.628866811,       3.461959896
          0,           0,         101,      -3.995402497,      -3.278533617,      -3.284923562,      -3.425376517,      -1.706647132,       3.409756474
          0,           0,         102,      -3.960945779,      -3.190243713,      -3.303014543,      -3.349649941,      -1.712093823,       3.472962357
          0,           0,         103,      -3.975814837,      -3.215429218,       -3.29373772,      -3.360066718,      -1.735945472,       3.283354395
          0,           0,         104,      -4.012657888,      -3.327803826,      -3.284181895,      -3.453813361,      -1.753673505,       3.454971222
          0,           0,         105,      -4.006838477,        -3.2775021,       -3.27759927,      -3.425512214,      -1.814714132,       3.403509216
          0,           0,         106,      -3.930536775,      -3.174170297,      -3.230264634,       -3.30233802,      -1.940015125,       3.472541888
          0,           0,         107,      -3.922210394,      -3.193879661,      -3.214202972,      -3.288851862,      -2.031570179,       3.304945519
          0,           0,         108,      -3.968793548,       -3.29462483,      -3.217069715,      -3.359356142,      -2.096626424,       3.465428302
          0,           0,         109,      -3.977039278,      -3.247043529,      -3.223034188,      -3.355929186,      -2.092368553,       3.427394269
          0,           0,         110,      -3.917786378,      -3.154360838,      -3.208113242,      -3.276587873,      -2.054862412,       3.513552783
          0,           0,         111,      -3.935857968,      -3.185956759,      -3.203320769,      -3.277583959,      -2.007291296,       3.313467721
          0,           0,         112,      -3.976569425,      -3.306145853,      -3.218287083,      -3.373378416,      -1.950199947,       3.475669515
          0,           0,         113,       -3.99094548,      -3.256026257,      -3.220090524,      -3.362618182,      -1.948210835,       3.441606855
          0,           0,         114,      -3.927556226,      -3.151771866,      -3.188384629,      -3.266354655,      -1.998945847,       3.504381951
          0,           0,         115,      -3.949305093,      -3.184987858,      -3.193049376,      -3.282410729,      -2.028843856,       3.339844586
          0,           0,         116,      -3.991714466,      -3.303292798,      -3.216087664,       -3.37676834,      -2.081223063,       3.487872125
          0,           0,         117,      -3.985865114,      -3.249723362,      -3.211437893,      -3.353577643,      -2.080526558,       3.487685669
          0,           0,         118,      -3.933284723,      -3.152379376,      -3.187790282,      -3.258268325,      -2.077503047,       3.540782622
          0,           0,         119,      -3.938023818,      -3.180119867,      -3.187726754,      -3.264595513,      -2.154647725,       3.354460538
          0,           0,         120,      -3.969027872,      -3.294693484,      -3.200835175,      -3.355848756,      -2.155499931,       3.481196644
          0,           0,         121,       -3.93459851,      -3.185420517,      -3.197411486,      -3.359034323,      -2.165456848,       3.532083235
          0,           0,         122,      -3.914745213,       -3.11984931,      -3.180361522,      -3.262562804,      -2.120100291,       3.553001113
          0,           0,         123,      -3.928197341,      -3.164378166,      -3.185310401,      -3.271064521,      -2.091285683,        3.37214337
          0,           0,         124,      -3.959188699,       -3.33089851,      -3.193359741,      -3.338236397,      -2.123531674,       3.478025563
          0,           0,         125,      -3.903585488,      -3.126605291,      -3.160790512,      -3.221220106,      -2.068437417,       3.602028222
          0,           0,         126,      -3.870589972,      -3.074853094,      -3.157635117,      -3.199965576,      -2.071617558,       3.582025663
          0,           0,         127,      -3.915461718,      -3.145899539,      -3.191186996,      -3.260554769,      -2.109973696,       3.404759656
          0,           0,         128,      -3.970403866,      -3.353234026,      -3.196816357,      -3.357002148,      -2.070590345,         3.4875348
          0,           0,         129,      -3.963808544,      -3.243906895,      -3.207788046,      -3.304369731,      -2.116632507,       3.639704242
          0,           0,         130,       -3.93844367,      -3.107381377,        -3.1957368,      -3.240220359,      -2.173486951,       3.572050335
          0,           0,         131,      -3.952656885,      -3.183778611,      -3.206432595,        -3.2644685,      -2.183819348,       3.426587171
          0,           0,         132,      -3.994706993,      -3.352422244,      -3.227276833,      -3.373659617,        -2.1800393,       3.483051003
          0,           0,         133,       -3.96126009,      -3.201591502,      -3.249643904,      -3.355539165,      -2.215680514,        3.64289171
          0,           0,         134,      -3.957727033,      -3.121495864,      -3.240897895,      -3.275262322,      -2.223348066,       3.537912067
          0,           0,         135,      -3.953399439,      -3.188901708,      -3.201426898,       -3.25873463,      -2.156441867,       3.422699021
          0,           0,         136,       -3.97857854,      -3.370949499,      -3.225542587,      -3.331344237,      -2.043965044,       3.467214462
          0,           0,         137,      -4.000247615,      -3.298558844,       -3.26079041,      -3.335216413,      -1.923586708,       3.604769816
          0,           0,         138,      -3.993820566,      -3.141856526,      -3.249088797,      -3.287010842,      -2.054554254,       3.522135006
          0,           0,         139,      -3.965345114,      -3.175753321,      -3.208132931,      -3.302108044,      -2.178583327,       3.425226081
          0,           0,         140,      -4.006569879,      -3.374376487,      -3.219753944,      -3.410233144,      -2.231733258,        3.49768032
          0,           0,         141,      -4.045958336,      -3.335576017,      -3.263713979,       -3.39838839,      -2.242631671,       3.681364875
          0,           0,         142,      -4.003484403,      -3.140255392,       -3.22737606,      -3.287162484,      -2.382408951,       3.510642842
          0,           0,         143,       -3.96596466,      -3.189164981,      -3.205975805,      -3.325279521,      -2.383281612,       3.416468275
          0,           0,         144,      -4.032563908,       -3.43508285,      -3.225958944,      -3.446895011,      -2.404602155,       3.517136955
          0,           0,         145,      -4.067984928,       -3.32928665,      -3.231882552,      -3.407099269,      -2.365445729,       3.656642501
          0,           0,         146,      -3.985687527,      -3.113354909,      -3.204978409,      -3.276746101,       -2.29761146,       3.497486494
          0,           0,         147,      -3.964391166,      -3.160810236,      -3.148474403,       -3.30138664,      -2.218033729,       3.408610427
          0,           0,         148,      -4.018106955,      -3.393382638,      -3.187184416,      -3.419538976,      -2.293090727,       3.519828495
          0,           0,         149,      -4.101781306,      -3.326747705,      -3.220733854,      -3.378451879,      -2.203477029,        3.69055232
          0,           0,         150,      -4.038269527,      -3.104124319,      -3.144976447,      -3.284081416,      -2.130077726,       3.482728636
          0,           0,         151,      -3.976302185,      -3.144926918,      -3.162902929,      -3.274629858,      -2.145134365,        3.39653845
          0,           0,         152,      -4.022596128,      -3.361731158,      -3.167084407,      -3.394573053,      -2.046650266,       3.478957635
          0,           0,         153,      -4.040625556,      -3.273901611,      -3.153869308,      -3.344863145,      -1.952357826,       3.658199689
          0,           0,         154,      -3.941373838,      -3.023269849,      -3.066837992,      -3.181939653,      -1.971319078,       3.452820963
          0,           0,         155,      -3.924081743,       -3.05780989,      -3.084200794,      -3.198626847,      -1.927064288,       3.374192375
          0,           0,         156,      -4.071402276,      -3.257014858,      -3.134489808,      -3.263110766,      -1.908404549,       3.460562262
          0,           0,         157,      -3.976107701,      -3.016376901,      -3.100990523,      -2.864153573,      -1.871139661,       3.608938133
          0,           0,         158,      -3.891778455,      -2.852021034,      -3.049001663,       -2.79438008,      -1.845589671,       3.438859799
          0,           0,         159,       -3.98225471,      -2.943885492,      -3.081438645,       -3.05669305,      -1.813721788,       3.333744951
          0,           0,         160,       -4.06998692,      -3.152773216,      -3.093006313,      -3.174408474,      -1.749652464,       3.440082367
          0,           0,         161,      -4.136345436,      -3.081567394,       -3.07426977,      -3.100654742,      -1.719307263,        3.57029243
          0,           0,         162,      -3.820248067,       -2.73591099,      -3.028948475,      -2.561614209,       -1.73123676,       3.434856923
          0,           0,         163,      -3.804645029,      -2.813348754,       -3.01808264,      -2.655037263,       -1.73257139,       3.325454228
          0,           0,         164,      -4.134910037,      -3.099605865,      -3.064816204,      -3.129538268,      -1.757455882,       3.458621446
          0,           0,         165,      -4.074816221,      -3.083761745,      -3.072663466,      -3.122376804,      -1.786930859,       3.577754234
          0,           0,         166,      -4.036296928,      -2.878171898,       -3.05078931,      -2.953801163,       -1.79166403,       3.428004416
          0,           0,         167,      -3.697363601,      -2.635098338,      -2.881148304,      -2.280189632,      -1.776469575,       3.345302103
          0,           0,         168,      -3.689836552,      -2.757440994,      -2.884462621,      -2.404949107,      -1.753453698,       3.425165152
          0,           0,         169,      -4.058007631,      -2.995116685,      -3.038826226,      -2.888669307,      -1.725584987,       3.574647126
          0,           0,         170,      -4.001426422,      -2.886655837,      -3.033239951,      -2.980177672,      -1.728592018,       3.433561788
          0,           0,         171,      -4.066977566,      -2.947836674,      -3.062103458,      -2.974447762,      -1.714201144,       3.363892607
          0,           0,         172,       -3.66649262,      -2.601163616,      -2.849260893,      -2.215392235,      -1.678179734,       3.421248744
          0,           0,         173,       -3.62743759,       -2.64841086,      -2.814371612,      -2.265915828,      -1.637506291,       3.544356529
          0,           0,         174,       -3.97489789,      -2.875086121,      -2.990799317,      -2.830283449,      -1.630198983,       3.469437075
          0,           0,         175,      -3.629661726,      -2.550148401,        -2.9117773,      -2.231229221,      -1.600000258,       3.394679407
          0,           0,         176,      -3.635332858,      -2.627288543,      -2.859605516,      -2.251367034,      -1.521085045,       3.419360881
          0,           0,         177,      -3.827029178,      -2.904501434,      -3.024875135,      -2.716066609,      -1.478011248,       3.611320063
          0,           0,         178,      -3.808004375,      -2.761027201,      -3.067120159,      -2.597060033,      -1.561865888,       3.409964186
          0,           0,         179,      -3.742097779,      -2.726022698,      -2.978227037,      -2.388027699,      -1.660768071,       3.364366831
          0,           0,         180,      -3.683784126,      -2.724228605,      -2.938317521,      -2.378534853,       -1.76623705,       3.398475628
          0,           0,         181,      -3.651046335,      -2.724349343,       -2.94500803,      -2.413023549,      -1.853344888,       3.536656772
          0,           0,         182,      -3.608469402,      -2.627240238,      -2.900417897,      -2.331733701,      -1.858922081,       3.398822842
          0,           0,         183,      -3.617268796,      -2.694990749,      -2.879449506,      -2.362287962,      -1.947851378,        3.37579069
          0,           0,         184,      -3.592352272,      -2.665101393,      -2.899374608,      -2.352060466,      -1.977216065,       3.413714087
          0,           0,         185,      -3.631485188,      -2.768754697,      -2.912915802,      -2.428647511,      -1.997942272,       3.404241387
          0,           0,         186,      -3.598646103,      -2.710711794,      -2.925291312,      -2.396456211,      -1.992990938,       3.394702528
          0,           0,         187,      -3.608607305,      -2.800218291,      -2.872514463,      -2.418533274,      -2.004367445,       3.312050441
